Data;21859 - Indicadores da produção (2022=100) - Geral - Índice;21861 - Indicadores da produção (2022=100) - Extrativa mineral - Índice;21862 - Indicadores da produção (2022=100) - Indústria de transformação - Índice;21863 - Indicadores da produção (2022=100) - Bens de capital - Índice;21864 - Indicadores da produção (2022=100) - Bens intermediários - Índice;21865 - Indicadores da produção (2022=100) - Bens de consumo - Índice;21866 - Indicadores da produção (2022=100) - Bens de consumo duráveis - Índice;21867 - Indicadores da produção (2022=100) - Semiduráveis e não duráveis - Índice;21868 - Indicadores da produção (2022=100) - Insumos da construção civil - Índice
jan/02;84,40;72,30;85,10;58,20;88,00;86,30;79,80;87,70;-
fev/02;81,20;68,30;82,10;56,80;85,20;82,10;77,00;83,10;-
mar/02;90,20;78,50;91,00;64,70;94,90;90,00;91,00;89,70;-
abr/02;92,80;77,10;93,80;68,90;96,00;94,60;101,80;92,80;-
mai/02;93,70;79,00;94,70;66,70;99,10;93,00;92,60;92,90;-
jun/02;90,30;78,70;91,10;61,70;97,20;87,60;81,10;89,00;-
jul/02;97,00;81,60;98,00;68,00;102,20;97,30;85,80;99,80;-
ago/02;97,40;82,10;98,40;64,60;101,50;100,50;86,40;103,70;-
set/02;95,70;77,70;96,90;64,60;99,10;99,50;93,60;100,80;-
out/02;103,90;81,80;105,40;71,00;104,60;112,80;108,00;113,70;-
nov/02;97,80;77,60;99,10;66,80;98,50;105,90;103,80;106,20;-
dez/02;86,90;74,10;87,80;58,60;89,30;91,60;82,30;93,60;-
jan/03;86,20;79,40;86,70;57,40;91,60;85,90;87,20;85,60;-
fev/03;83,60;73,60;84,30;60,20;88,40;82,90;86,70;81,90;-
mar/03;90,20;83,30;90,70;59,30;99,20;84,60;80,50;85,50;-
abr/03;89,20;80,00;89,80;60,80;96,30;86,00;87,60;85,50;-
mai/03;92,90;84,70;93,40;62,90;100,10;89,80;87,30;90,30;-
jun/03;88,90;76,80;89,70;59,80;96,30;85,50;79,00;86,90;-
jul/03;94,80;81,70;95,60;65,80;101,60;92,20;82,80;94,20;-
ago/03;95,10;84,90;95,80;65,20;101,20;94,00;86,00;95,70;-
set/03;99,80;82,20;101,00;71,20;104,10;101,30;100,10;101,50;-
out/03;104,90;84,60;106,20;79,30;107,00;108,90;110,30;108,50;-
nov/03;98,60;80,70;99,70;79,70;98,80;103,80;108,20;102,60;-
dez/03;90,70;81,70;91,30;67,20;92,90;94,30;94,60;94,10;-
jan/04;89,50;79,40;90,20;65,60;94,50;88,50;97,80;86,20;-
fev/04;86,30;76,80;86,90;65,70;92,30;82,30;89,10;80,60;-
mar/04;101,30;82,80;102,50;83,00;106,30;98,40;114,40;94,60;-
abr/04;95,80;80,80;96,80;76,30;101,50;92,10;105,80;88,80;-
mai/04;100,60;83,00;101,80;81,40;107,10;95,50;107,50;92,60;-
jun/04;100,40;84,10;101,40;81,00;106,30;96,30;107,20;93,60;-
jul/04;105,00;87,80;106,10;83,30;111,60;100,40;109,80;98,10;-
ago/04;107,40;91,40;108,40;85,90;112,10;105,90;118,60;102,80;-
set/04;107,40;87,40;108,70;82,90;110,40;109,70;122,40;106,60;-
out/04;108,90;89,90;110,20;84,20;112,00;111,30;120,60;109,00;-
nov/04;107,00;85,60;108,40;85,00;106,60;114,10;122,90;112,00;-
dez/04;98,70;87,10;99,50;77,10;99,20;104,50;107,10;103,80;-
jan/05;94,40;85,20;95,10;70,90;97,90;95,80;98,30;95,10;-
fev/05;89,00;78,00;89,70;67,60;92,70;89,40;104,00;86,00;-
mar/05;102,60;88,30;103,50;84,20;105,50;103,20;126,30;97,70;-
abr/05;101,40;91,90;102,00;79,40;104,50;102,70;120,90;98,30;-
mai/05;106,20;97,40;106,80;85,30;110,00;106,10;123,10;102,10;-
jun/05;106,50;96,90;107,10;88,30;109,70;106,60;124,80;102,30;-
jul/05;105,50;97,40;106,00;79,60;109,80;106,10;118,60;103,10;-
ago/05;111,40;98,50;112,20;88,10;113,10;115,50;130,70;111,80;-
set/05;107,20;96,70;107,90;87,40;109,10;109,90;117,10;108,10;-
out/05;109,20;99,60;109,90;84,90;111,00;113,60;121,40;111,60;-
nov/05;107,70;94,60;108,50;87,40;106,10;116,30;131,10;112,70;-
dez/05;100,90;95,50;101,30;80,80;99,30;109,60;119,90;107,10;-
jan/06;97,50;97,10;97,50;73,90;100,20;100,00;118,80;95,50;-
fev/06;93,50;88,10;93,80;73,90;94,70;97,30;118,30;92,30;-
mar/06;107,70;99,80;108,20;90,60;108,50;111,30;136,10;105,40;-
abr/06;99,80;96,30;100,10;78,00;102,90;101,30;122,20;96,40;-
mai/06;111,10;103,90;111,60;89,90;113,80;112,90;141,10;106,20;-
jun/06;106,20;97,90;106,70;85,40;108,90;107,80;128,20;102,90;-
jul/06;109,30;103,80;109,60;86,70;113,10;109,60;123,30;106,20;-
ago/06;114,90;104,00;115,60;94,60;116,10;118,70;141,20;113,40;-
set/06;108,70;101,50;109,10;87,10;109,40;113,90;123,30;111,50;-
out/06;113,60;104,50;114,20;92,50;112,20;122,10;138,80;118,10;-
nov/06;111,70;103,00;112,30;94,10;109,00;121,40;139,20;117,20;-
dez/06;101,30;103,20;101,30;86,60;100,40;107,30;111,50;106,20;-
jan/07;101,40;102,10;101,40;87,10;103,10;102,70;124,80;97,50;-
fev/07;96,20;93,60;96,40;84,20;97,50;97,60;116,20;93,20;-
mar/07;112,40;105,40;112,90;102,20;113,20;113,90;148,30;105,90;-
abr/07;105,60;101,70;105,90;91,40;107,90;106,00;133,50;99,50;-
mai/07;116,40;107,30;117,00;107,10;116,80;118,30;152,50;110,30;-
jun/07;112,90;106,30;113,30;99,70;114,10;114,70;139,40;108,80;-
jul/07;116,30;111,30;116,70;103,70;118,00;117,20;143,40;111,00;-
ago/07;122,30;111,10;123,00;114,80;120,70;126,90;158,40;119,50;-
set/07;114,60;105,60;115,20;106,10;112,90;119,80;142,70;114,30;-
out/07;125,70;108,80;126,80;117,80;121,80;134,10;169,20;125,90;-
nov/07;119,30;106,60;120,20;115,60;113,60;129,60;159,40;122,60;-
dez/07;107,90;114,20;107,60;102,00;106,80;111,40;121,90;108,80;-
jan/08;110,50;110,20;110,50;102,00;110,90;112,10;143,60;104,60;-
fev/08;106,10;102,60;106,40;106,00;107,60;103,50;139,00;95,20;-
mar/08;113,90;109,00;114,30;115,70;113,80;113,20;156,60;103,10;-
abr/08;115,60;105,80;116,30;119,60;114,00;116,90;162,30;106,20;-
mai/08;119,40;115,40;119,70;115,30;119,60;120,00;156,90;111,30;-
jun/08;120,30;114,10;120,80;123,90;119,90;119,60;159,70;110,20;-
jul/08;126,40;120,80;126,80;129,40;126,80;124,60;160,10;116,20;-
ago/08;124,60;120,70;124,90;128,90;122,60;126,20;167,30;116,60;-
set/08;125,10;115,80;125,70;135,00;119,90;130,20;166,10;121,80;-
out/08;126,30;116,80;127,00;140,60;118,60;134,40;164,00;127,40;-
nov/08;112,10;101,80;112,80;123,90;105,40;119,20;118,80;119,10;-
dez/08;92,20;89,80;92,40;90,30;88,40;98,80;74,20;104,40;-
jan/09;91,70;90,00;91,80;89,60;89,60;95,60;105,30;93,20;-
fev/09;88,60;83,20;89,00;82,70;86,30;94,20;111,60;90,00;-
mar/09;103,20;97,50;103,60;93,40;100,00;111,20;143,70;103,50;-
abr/09;99,30;93,60;99,70;86,90;97,30;106,20;134,00;99,60;-
mai/09;106,40;98,90;106,90;91,80;104,50;113,70;140,10;107,40;-
jun/09;107,40;103,30;107,70;95,00;106,90;111,90;143,40;104,50;-
jul/09;113,90;108,40;114,20;99,60;112,70;119,80;152,20;112,20;-
ago/09;116,10;108,20;116,60;100,00;114,10;124,10;160,30;115,60;-
set/09;115,90;104,90;116,60;106,70;112,50;124,00;156,50;116,30;-
out/09;123,10;107,50;124,10;117,30;117,00;134,50;173,80;125,30;-
nov/09;118,10;102,90;119,10;120,40;111,30;128,40;163,80;120,10;-
dez/09;109,60;107,10;109,80;111,60;105,80;115,00;135,70;110,10;-
jan/10;106,30;109,10;106,10;100,90;106,60;107,30;141,00;99,40;-
fev/10;103,70;100,50;103,90;102,70;101,60;107,20;141,40;99,10;-
mar/10;122,40;112,40;123,10;129,40;117,40;128,40;182,70;115,60;-
abr/10;115,70;110,10;116,10;117,80;113,70;118,10;162,10;107,80;-
mai/10;121,50;114,40;122,00;124,20;119,90;122,90;166,10;112,80;-
jun/10;119,40;112,80;119,90;120,00;119,30;119,10;152,00;111,40;-
jul/10;124,60;119,60;124,90;122,50;124,70;124,70;153,50;117,80;-
ago/10;126,00;119,90;126,50;128,40;122,80;130,30;170,60;120,90;-
set/10;123,30;119,10;123,60;125,60;118,40;130,30;160,90;123,10;-
out/10;125,50;116,80;126,10;125,80;119,70;134,80;170,40;126,50;-
nov/10;124,40;114,80;125,10;133,20;116,90;133,80;174,90;124,20;-
dez/10;112,50;118,20;112,20;118,60;108,30;117,50;144,30;111,10;-
jan/11;108,60;115,20;108,30;108,30;107,40;110,60;147,30;101,90;-
fev/11;111,20;105,10;111,60;122,80;106,00;115,90;164,70;104,50;-
mar/11;121,60;112,40;122,30;131,60;117,40;125,20;168,70;115,00;-
abr/11;113,60;111,80;113,80;117,40;112,10;114,70;149,20;106,60;-
mai/11;124,80;117,90;125,30;133,30;122,20;126,30;162,50;117,70;-
jun/11;119,80;117,30;120,00;129,00;118,90;117,90;149,90;110,30;-
jul/11;123,60;120,80;123,80;128,60;121,70;124,90;155,30;117,70;-
ago/11;129,10;120,90;129,70;142,10;123,90;133,60;172,90;124,30;-
set/11;122,10;117,40;122,40;127,90;118,70;125,70;146,80;120,70;-
out/11;123,80;118,90;124,20;127,90;119,30;129,70;154,20;123,90;-
nov/11;121,40;118,80;121,60;130,70;114,90;129,10;155,40;122,90;-
dez/11;111,50;120,70;111,00;122,00;107,30;115,10;136,10;110,00;-
jan/12;103,40;107,10;102,90;89,90;102,80;107,00;132,80;100,90;126,90
fev/12;104,70;108,50;104,20;110,80;102,40;106,50;125,50;102,00;127,20
mar/12;116,20;114,20;116,40;126,90;111,00;122,40;160,30;113,50;139,70
abr/12;108,10;111,40;107,70;109,80;105,40;111,50;142,10;104,30;129,10
mai/12;119,40;120,80;119,20;120,10;117,20;122,10;156,50;113,90;140,00
jun/12;114,50;116,40;114,30;109,00;114,00;115,60;148,00;108,00;132,70
jul/12;121,80;120,40;121,90;116,50;120,70;124,20;155,00;116,90;139,00
ago/12;130,00;120,50;131,10;124,70;126,90;136,70;179,60;126,50;147,10
set/12;120,50;113,00;121,50;108,20;118,70;126,90;156,00;120,10;137,50
out/12;130,30;125,20;130,90;122,60;125,80;140,80;179,40;131,70;148,40
nov/12;122,20;112,80;123,30;112,80;116,70;135,20;171,10;126,80;139,10
dez/12;107,50;120,00;105,90;100,10;105,40;112,50;130,70;108,20;123,50
jan/13;110,10;109,20;110,20;111,20;106,90;115,50;151,80;107,00;129,60
fev/13;102,60;99,00;103,10;116,50;98,80;105,20;130,00;99,40;120,40
mar/13;113,90;103,80;115,10;128,10;109,30;117,90;161,40;107,60;136,60
abr/13;118,70;105,00;120,40;135,30;112,60;125,40;171,10;114,60;141,40
mai/13;122,30;110,60;123,80;129,40;118,50;127,10;166,60;117,80;140,20
jun/13;118,50;112,50;119,30;126,20;114,90;122,60;158,60;114,20;136,20
jul/13;125,90;116,60;127,10;131,70;122,80;129,30;160,30;122,00;143,80
ago/13;130,60;118,00;132,20;137,50;125,90;136,70;175,60;127,60;148,40
set/13;125,00;112,70;126,60;134,30;119,10;132,80;168,30;124,40;142,40
out/13;131,20;120,50;132,50;143,20;123,60;141,70;180,20;132,60;150,60
nov/13;123,70;116,10;124,60;127,30;117,40;134,20;167,20;126,40;140,70
dez/13;105,00;115,80;103,60;95,70;102,70;111,20;127,20;107,40;117,90
jan/14;107,90;111,50;107,50;112,30;103,90;113,50;145,10;106,10;125,20
fev/14;107,50;100,60;108,40;126,50;99,90;116,70;160,20;106,40;126,60
mar/14;113,40;113,00;113,40;119,60;109,30;118,80;153,50;110,60;131,40
abr/14;111,90;111,20;112,00;116,60;107,50;118,20;151,10;110,40;127,80
mai/14;118,50;119,10;118,50;118,00;115,00;124,70;147,40;119,40;133,10
jun/14;110,60;117,10;109,80;100,20;111,80;109,80;106,70;110,50;120,10
jul/14;121,70;124,40;121,40;119,30;118,90;126,90;140,50;123,70;133,30
ago/14;123,90;128,50;123,30;117,20;122,20;128,50;147,40;124,10;137,50
set/14;123,10;124,80;122,80;120,60;117,80;133,60;160,10;127,40;137,20
out/14;127,30;130,00;127,00;125,80;121,10;139,50;168,10;132,70;142,00
nov/14;116,30;122,40;115,50;113,60;110,60;127,10;148,40;122,00;129,90
dez/14;102,20;128,20;98,90;85,00;101,10;107,90;115,40;106,20;110,50
jan/15;102,70;124,50;99,90;94,90;101,70;105,50;125,50;100,80;114,80
