Data;11752 - Índice da taxa de câmbio real efetiva (IPCA) - Jun/1994=100 - Índice;11753 - Índice da taxa de câmbio real (IPCA) - Jun/1994=100 - Dólar americano - Índice;20360 - Índice da taxa de câmbio efetiva nominal - Jun/1994=100 - Índice
01/1988;125,54 ;132,26 ;-
02/1988;125,72 ;133,93 ;-
03/1988;127,44 ;134,91 ;-
04/1988;126,85 ;133,42 ;-
05/1988;129,13 ;136,60 ;-
06/1988;123,08 ;133,12 ;-
07/1988;120,04 ;132,73 ;-
08/1988;121,25 ;135,83 ;-
09/1988;118,15 ;130,88 ;-
10/1988;121,04 ;131,94 ;-
11/1988;123,89 ;131,92 ;-
12/1988;123,33 ;130,92 ;-
01/1989;119,53 ;128,79 ;-
02/1989;113,01 ;122,63 ;-
03/1989;106,54 ;115,46 ;-
04/1989;93,21 ;108,89 ;-
05/1989;85,17 ;100,55 ;-
06/1989;82,30 ;95,32 ;-
07/1989;93,02 ;107,08 ;-
08/1989;90,76 ;103,72 ;-
09/1989;86,33 ;99,85 ;-
10/1989;87,01 ;98,65 ;-
11/1989;82,58 ;93,09 ;-
12/1989;79,35 ;91,20 ;-
01/1990;80,32 ;85,01 ;-
02/1990;71,47 ;80,35 ;-
03/1990;66,32 ;70,58 ;-
04/1990;71,27 ;77,73 ;-
05/1990;74,10 ;78,97 ;-
06/1990;72,56 ;77,70 ;-
07/1990;76,66 ;80,44 ;-
08/1990;75,14 ;77,59 ;-
09/1990;71,46 ;71,99 ;-
10/1990;81,02 ;79,78 ;-
11/1990;91,26 ;88,57 ;-
12/1990;96,86 ;93,88 ;-
01/1991;98,61 ;97,74 ;-
02/1991;94,15 ;93,08 ;-
03/1991;85,37 ;86,41 ;-
04/1991;87,10 ;90,34 ;-
05/1991;87,79 ;91,30 ;-
06/1991;85,03 ;89,87 ;-
07/1991;83,97 ;88,41 ;-
08/1991;82,83 ;86,56 ;-
09/1991;84,37 ;86,86 ;-
10/1991;96,91 ;98,48 ;-
11/1991;99,93 ;100,03 ;-
12/1991;106,25 ;104,69 ;-
01/1992;106,19 ;104,06 ;-
02/1992;104,10 ;103,74 ;-
03/1992;104,40 ;105,39 ;-
04/1992;106,33 ;106,55 ;-
05/1992;103,07 ;102,25 ;-
06/1992;104,52 ;102,29 ;-
07/1992;106,81 ;102,29 ;-
08/1992;108,15 ;102,48 ;-
09/1992;107,69 ;101,86 ;-
10/1992;106,09 ;102,03 ;-
11/1992;104,66 ;104,60 ;-
12/1992;103,21 ;102,87 ;-
01/1993;99,28 ;99,99 ;-
02/1993;100,47 ;102,04 ;-
03/1993;99,50 ;101,18 ;-
04/1993;101,73 ;101,55 ;-
05/1993;102,95 ;102,67 ;-
06/1993;102,43 ;102,66 ;-
07/1993;101,00 ;102,48 ;-
08/1993;100,79 ;101,88 ;-
09/1993;101,10 ;101,10 ;-
10/1993;102,38 ;103,10 ;-
11/1993;101,19 ;103,58 ;-
12/1993;100,32 ;102,76 ;-
01/1994;98,91 ;102,01 ;-
02/1994;100,37 ;102,83 ;-
03/1994;99,07 ;100,80 ;-
04/1994;100,39 ;102,19 ;-
05/1994;100,94 ;101,45 ;-
06/1994;100,00 ;100,00 ;100,00
07/1994;88,96 ;87,56 ;94,88
08/1994;84,38 ;83,17 ;91,45
09/1994;80,46 ;79,03 ;88,46
10/1994;77,62 ;75,37 ;87,33
11/1994;74,85 ;73,06 ;86,45
12/1994;73,31 ;72,51 ;86,10
01/1995;72,10 ;71,33 ;85,78
02/1995;71,63 ;70,39 ;85,72
03/1995;76,62 ;73,52 ;93,06
04/1995;77,91 ;73,55 ;96,83
05/1995;74,72 ;70,91 ;95,18
06/1995;74,80 ;70,80 ;97,12
07/1995;74,47 ;70,30 ;98,71
08/1995;73,27 ;70,77 ;97,86
09/1995;72,93 ;71,03 ;97,93
10/1995;73,26 ;70,79 ;99,57
11/1995;73,97 ;70,01 ;99,32
12/1995;71,08 ;69,17 ;99,11
01/1996;70,32 ;69,16 ;99,02
02/1996;70,30 ;69,10 ;99,51
03/1996;70,35 ;69,57 ;99,71
04/1996;69,62 ;69,26 ;99,39
05/1996;69,08 ;68,91 ;99,39
06/1996;68,71 ;68,55 ;99,93
07/1996;68,74 ;68,31 ;100,95
08/1996;69,44 ;68,58 ;102,30
09/1996;69,35 ;69,09 ;102,15
10/1996;69,36 ;69,50 ;102,03
11/1996;69,94 ;69,77 ;103,03
12/1996;69,53 ;69,90 ;102,62
01/1997;68,35 ;69,68 ;101,63
02/1997;67,35 ;69,98 ;100,35
03/1997;67,06 ;70,29 ;100,52
04/1997;66,56 ;70,04 ;100,45
05/1997;67,43 ;70,20 ;101,86
06/1997;67,40 ;70,32 ;102,39
07/1997;66,97 ;70,65 ;101,72
08/1997;66,66 ;71,27 ;101,07
09/1997;67,64 ;71,78 ;102,40
10/1997;68,54 ;72,22 ;103,75
11/1997;68,87 ;72,52 ;104,50
12/1997;68,19 ;72,53 ;103,75
01/1998;67,51 ;72,56 ;103,29
02/1998;67,94 ;72,83 ;104,23
03/1998;67,86 ;73,15 ;104,41
04/1998;68,41 ;73,59 ;105,13
